Date : 2023-11-18 20:15:18
Directory : /Users/brian/Dev/Web/RukusRummy
Total : 199 files,  34028 codes, 368 comments, 1702 blanks, all 36098 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/js/signout-redirect.js                                                      | JavaScript         |          6 |          0 |          1 |          7 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/lib/bootstrap/README.md                                                     | Markdown           |        144 |          0 |         66 |        210 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/lib/bootstrap4-glyphicons/css/bootstrap-glyphicons.css                      | CSS                |        803 |          5 |          2 |        810 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/lib/bootstrap4-glyphicons/css/bootstrap-glyphicons.min.css                  | CSS                |          1 |          5 |          0 |          6 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/lib/bootstrap4-glyphicons/fonts/glyphicons/glyphicons-halflings-regular.svg | XML                |        288 |          0 |          0 |        288 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/lib/bootstrap4-glyphicons/maps/glyphicons-fontawesome.css                   | CSS                |      2,945 |          2 |          0 |      2,947 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/lib/bootstrap4-glyphicons/maps/glyphicons-fontawesome.less                  | Less               |      3,620 |          2 |        269 |      3,891 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/lib/bootstrap4-glyphicons/maps/glyphicons-fontawesome.min.css               | CSS                |          1 |          0 |          0 |          1 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Identity/wwwroot/lib/jquery/README.md                                                        | Markdown           |         39 |          0 |         24 |         63 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Test.Unit/GameService_GetGameAsync.cs                                                        | C#                 |         49 |          5 |          8 |         62 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Test.Unit/RukusRummy.Test.Unit.csproj                                                        | XML                |         24 |          0 |          6 |         30 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Test.Unit/Usings.cs                                                                          | C#                 |          1 |          0 |          0 |          1 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/README.md                                                                                | Markdown           |         26 |          0 |         21 |         47 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/build/asset-manifest.json                                                                | JSON               |         15 |          0 |          0 |         15 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/build/index.html                                                                         | HTML               |          1 |          0 |          0 |          1 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/build/manifest.json                                                                      | JSON               |         25 |          0 |          1 |         26 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/build/static/css/main.e6c13ad2.css                                                       | CSS                |          1 |          1 |          0 |          2 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/build/static/js/787.ee9b3a7e.chunk.js                                                    | JavaScript         |          1 |          1 |          0 |          2 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/build/static/js/main.e8027a63.js                                                         | JavaScript         |          1 |          2 |          0 |          3 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/package-lock.json                                                                        | JSON               |     19,264 |          0 |          1 |     19,265 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/package.json                                                                             | JSON               |         54 |          0 |          1 |         55 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/public/index.html                                                                        | HTML               |         20 |         23 |          1 |         44 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/public/manifest.json                                                                     | JSON               |         25 |          0 |          1 |         26 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Api/BaseApi.ts                                                                       | TypeScript         |         60 |          0 |         16 |         76 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Api/DeckApi.ts                                                                       | TypeScript         |         27 |          0 |          7 |         34 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Api/GameApi.ts                                                                       | TypeScript         |         20 |          0 |          7 |         27 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Api/PlayerApi.ts                                                                     | TypeScript         |         20 |          8 |          6 |         34 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Api/TestApi.ts                                                                       | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Buttons/StartNewGameButton.scss                                           | SCSS               |          0 |          0 |          1 |          1 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Buttons/StartNewGameButton.tsx                                            | TypeScript JSX     |         12 |          0 |          7 |         19 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Dropdown/Dropdown.scss                                                    | SCSS               |         66 |          0 |         12 |         78 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Dropdown/Dropdown.tsx                                                     | TypeScript JSX     |         48 |          0 |         12 |         60 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Hand/Hand.scss                                                            | SCSS               |         57 |          0 |         11 |         68 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Hand/Hand.tsx                                                             | TypeScript JSX     |         54 |          0 |         10 |         64 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Header/CreateGamePageHeader.tsx                                           | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Header/Header.scss                                                        | SCSS               |         33 |          2 |          7 |         42 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Header/Header.tsx                                                         | TypeScript JSX     |         45 |          1 |          8 |         54 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Header/LandingPageHeader.tsx                                              | TypeScript JSX     |          7 |          4 |          3 |         14 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Header/SessionPageHeader.tsx                                              | TypeScript JSX     |         16 |          5 |          3 |         24 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Layout.scss                                                               | SCSS               |         11 |          0 |          1 |         12 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Layout.tsx                                                                | TypeScript JSX     |         22 |          0 |          6 |         28 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Modal/ChooseYourNameModal.scss                                            | SCSS               |         10 |          0 |          1 |         11 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Modal/ChooseYourNameModal.tsx                                             | TypeScript JSX     |         31 |          6 |         11 |         48 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Modal/CreateACustomDeckModal.scss                                         | SCSS               |         15 |          0 |          2 |         17 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Modal/CreateACustomDeckModal.tsx                                          | TypeScript JSX     |         88 |          0 |         15 |        103 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Modal/Modal.scss                                                          | SCSS               |         21 |          0 |          1 |         22 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Modal/Modal.tsx                                                           | TypeScript JSX     |         11 |          0 |          2 |         13 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/PlayedCard/PlayedCard.scss                                                | SCSS               |         48 |          0 |          4 |         52 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/PlayedCard/PlayedCard.tsx                                                 | TypeScript JSX     |         32 |          0 |         10 |         42 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Sections/HeroSection.scss                                                 | SCSS               |         45 |          2 |          5 |         52 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Sections/HeroSection.tsx                                                  | TypeScript JSX     |         24 |          0 |          5 |         29 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Table/Table.scss                                                          | SCSS               |         61 |          1 |          9 |         71 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Table/Table.tsx                                                           | TypeScript JSX     |         59 |          1 |         12 |         72 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/TextInput/TextInput.scss                                                  | SCSS               |        109 |          2 |         19 |        130 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/TextInput/TextInput.tsx                                                   | TypeScript JSX     |         34 |          0 |          8 |         42 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Timer/Timer.scss                                                          | SCSS               |         36 |          0 |          3 |         39 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Timer/Timer.tsx                                                           | TypeScript JSX     |         10 |          0 |          3 |         13 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Toggle/Toggle.scss                                                        | SCSS               |         61 |          2 |         10 |         73 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Components/Toggle/Toggle.tsx                                                         | TypeScript JSX     |         17 |          0 |          5 |         22 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Contexts/ApiContext.tsx                                                              | TypeScript JSX     |         32 |          0 |          5 |         37 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Contexts/AppContext.tsx                                                              | TypeScript JSX     |         79 |          3 |         14 |         96 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Contexts/GameHubContext.tsx                                                          | TypeScript JSX     |         30 |          0 |          9 |         39 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Models/Deck.ts                                                                       | TypeScript         |          5 |          0 |          0 |          5 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Models/Game.ts                                                                       | TypeScript         |         51 |          0 |          8 |         59 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Models/Player.ts                                                                     | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Pages/CreateGame.scss                                                                | SCSS               |         17 |          0 |          3 |         20 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Pages/CreateGamePage.tsx                                                             | TypeScript JSX     |        179 |          0 |         22 |        201 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Pages/LandingPage.tsx                                                                | TypeScript JSX     |          9 |          0 |          4 |         13 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Pages/SessionPage.scss                                                               | SCSS               |         26 |          1 |          4 |         31 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Pages/SessionPage.tsx                                                                | TypeScript JSX     |         67 |          2 |         14 |         83 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/Utilities/StringUtilities.ts                                                         | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/assets/logo-black.svg                                                                | XML                |        109 |          1 |          1 |        111 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/index.scss                                                                           | SCSS               |         68 |          0 |         11 |         79 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/index.tsx                                                                            | TypeScript JSX     |         29 |          6 |          6 |         41 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/logo.svg                                                                             | XML                |          1 |          0 |          0 |          1 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/react-app-env.d.ts                                                                   | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/reportWebVitals.ts                                                                   | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/setupTests.ts                                                                        | TypeScript         |          1 |          4 |          1 |          6 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/src/variables.scss                                                                       | SCSS               |          1 |          0 |          0 |          1 |
| /Users/brian/Dev/Web/RukusRummy/RukusRummy.Web/tsconfig.json                                                                            | JSON with Comments |         26 |          0 |          1 |         27 |
| /Users/brian/Dev/Web/RukusRummy/nginx.conf                                                                                              | Properties         |         41 |         10 |         10 |         61 |
| /Users/brian/Dev/Web/RukusRummy/supervisord.conf                                                                                        | Properties         |         17 |          8 |          4 |         29 |
| Total                                                                                                                                   |                    |     34,028 |        368 |      1,702 |     36,098 |
+-----------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
